,Subzone,Area_km2
0,MARINA SOUTH,1.3219410492643688
1,PEARL'S HILL,0.5635853191262906
2,BOAT QUAY,0.16189015390168238
3,HENDERSON HILL,0.5994375897156364
4,REDHILL,0.39003787280768026
5,ALEXANDRA HILL,1.037316009786215
6,BUKIT HO SWEE,0.5554466770988494
7,CLARKE QUAY,0.29213835869199445
8,PASIR PANJANG 1,1.092095020332752
9,QUEENSWAY,0.6358967543859136
10,KENT RIDGE,1.839147160191426
11,ALEXANDRA NORTH,0.29568395351296867
12,MARINA EAST,1.4790604624285901
13,INSTITUTION HILL,0.39520631917035165
14,ROBERTSON QUAY,0.5099996420072851
15,JURONG ISLAND AND BUKOM,36.9546583269574
16,SUDONG,4.2355860349951815
17,SEMAKAU,4.997205276459709
18,SOUTHERN GROUP,2.2211750715819787
19,SENTOSA,4.952253142611911
20,CITY TERMINALS,3.4728665113879464
21,ANSON,0.10393356724245105
22,STRAITS VIEW,1.1348869252621783
23,MARITIME SQUARE,2.7199831587167567
24,TELOK BLANGAH WAY,0.2786906125724291
25,MAXWELL,0.06409360592608285
26,CECIL,0.19794364916371074
27,KAMPONG TIONG BAHRU,0.36779310683425276
28,TELOK BLANGAH DRIVE,1.464622447958839
29,PASIR PANJANG 2,0.8589507582523908
30,CENTRAL SUBZONE,1.0779321332346063
31,SINGAPORE GENERAL HOSPITAL,0.5366060820170132
32,DEPOT ROAD,0.44548178230260044
33,PEOPLE'S PARK,0.09376752771204039
34,BUKIT MERAH,0.4144948011595824
35,CHINATOWN,0.5911762934494003
36,PHILLIP,0.03970345534211909
37,RAFFLES PLACE,0.19003839311593718
38,CHINA SQUARE,0.1339024284477433
39,TIONG BAHRU,0.4511446914784883
40,BAYFRONT SUBZONE,0.5247094976162574
41,TIONG BAHRU STATION,0.35314935505655687
42,CLIFFORD PIER,0.2636067816114724
43,MARINA EAST (MP),1.6010456751964917
44,MARINA CENTRE,0.8929261793367599
45,BRAS BASAH,0.22470934616848698
46,OXLEY,0.20139955452700423
47,CITY HALL,0.7153526276997949
48,MEI CHIN,0.7537243366759209
49,EAST COAST,0.5957620381709056
50,NATIONAL UNIVERSITY OF S'PORE,1.767770730591756
51,ONE TREE HILL,0.34303740575468483
52,SOMERSET,0.3316558850271303
53,BENCOOLEN,0.17181329077908025
54,LEONIE HILL,0.370963828985274
55,PORT,7.653069014338007
56,DHOBY GHAUT,0.2234677825104121
57,BUGIS,0.2820610162119316
58,VICTORIA,0.21569272589652785
59,PATERSON,0.1742873225602253
60,TELOK BLANGAH RISE,0.5372643450180838
61,TANJONG PAGAR,0.14649840664816005
62,EVERTON PARK,0.6399842991659079
63,TANGLIN HALT,0.5066084643247919
64,MACKENZIE,0.05605615098575695
65,SUNGEI ROAD,0.11711316465096142
66,ONE NORTH,2.065464458467974
67,TANJONG RHU,2.4509836874486988
68,MOUNTBATTEN,1.7251582662026972
69,COMMONWEALTH,0.31260407863640316
70,DOVER,1.395977698295247
71,RIDOUT,1.9650064314516256
72,CAIRNHILL,0.4555180853747857
73,CLEMENTI WEST,0.7021966618799226
74,TUAS VIEW EXTENSION,27.897148138216085
75,MONK'S HILL,0.17287672093728795
76,SIGLAP,1.1052218499252426
77,CLEMENTI WOODS,1.0605850650683302
