,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
0,CAIRNHILL,0.5416666666666666,0.43902439024390244,0.75,0.5454545454545454,0.477124183006536,0.9744897959183674,0.6895161290322581,80.50393011923528,8517.773771391887
1,ANG MO KIO TOWN CENTRE,0.5625,0.45121951219512196,0.48148148148148145,0.256198347107438,0.28104575163398693,0.41836734693877553,0.3790322580645161,51.57333042108743,15077.653283381502
2,YUHUA EAST,0.375,0.4024390243902439,0.37037037037037035,0.3305785123966942,0.28104575163398693,0.22448979591836735,0.22580645161290322,40.27186746466354,26606.212947592605
3,SELETAR AEROSPACE PARK,0.10416666666666667,0.07317073170731707,0.009259259259259259,0.03305785123966942,0.0718954248366013,0.015306122448979591,0.028225806451612902,6.10679718016042,5.6068401567623365
4,SELETAR,0.020833333333333332,0.04878048780487805,0.009259259259259259,0.024793388429752067,0.0457516339869281,0.01020408163265306,0.03225806451612903,3.4969775868136677,78.31184676993624
5,ALEXANDRA NORTH,0.10416666666666667,0.18292682926829268,0.25925925925925924,0.24793388429752067,0.1503267973856209,0.2193877551020408,0.2903225806451613,26.504747957778836,8860.812258738575
6,BOON KENG,0.2708333333333333,0.25609756097560976,0.25,0.3140495867768595,0.5032679738562091,0.1836734693877551,0.3185483870967742,38.207734928961514,28494.688289321934
7,PULAU PUNGGOL TIMOR,0.0,0.012195121951219513,0.0,0.01652892561983471,0.013071895424836602,0.01020408163265306,0.012096774193548387,1.1681508132223724,0.0
8,TANGLIN,0.20833333333333334,0.04878048780487805,0.5370370370370371,0.3140495867768595,0.0915032679738562,0.25,0.29435483870967744,31.785103980862182,2193.6974776857123
9,TELOK BLANGAH DRIVE,0.125,0.04878048780487805,0.08333333333333333,0.32231404958677684,0.19607843137254902,0.1326530612244898,0.16129032258064516,19.49049786019934,13191.112854323095
10,ONE TREE HILL,0.3541666666666667,0.18292682926829268,0.6111111111111112,0.35537190082644626,0.39869281045751637,0.5867346938775511,0.21774193548387097,49.329881337105476,6034.3273511120005
