,Zone,Count,Location,Latitude,Longitude
0,CAIRNHILL,1,Cairnhill,1.3065605,103.83943983779069
1,ANG MO KIO TOWN CENTRE,2,Ang Mo Kio Town Centre,1.3712845,103.84699364624538
2,YUHUA EAST,3,Yuhua East,1.3438518,103.73932984583801
3,SELETAR AEROSPACE PARK,4,Seletar Aerospace Park,1.4170202,103.86808181112622
4,SELETAR,5,Seletar,1.4098488,103.8773789
5,ALEXANDRA NORTH,6,Alexandra North,1.277477,103.8018803
6,BOON KENG,7,Boon Keng,1.3195690500000001,103.86174867772831
7,PULAU PUNGGOL TIMOR,8,Pulau Punggol Timor,1.4198936,103.8904904
8,TANGLIN,9,Tanglin,1.3060443,103.8152804
9,TELOK BLANGAH DRIVE,10,Telok Blangah Drive,1.2725019,103.8118027
10,ONE TREE HILL,11,One Tree Hill,1.3004317,103.8249494
11,WOODLANDS WEST,12,Woodlands West,1.436897,103.786216
12,HONG KAH,13,Hong Kah,1.3553973,103.7214297
13,ROBERTSON QUAY,14,Robertson Quay,1.29040905,103.83812675642012
14,BUKIT BATOK EAST,15,Bukit Batok East,1.3490572,103.7495906
15,ADMIRALTY,16,Admiralty,1.4406369,103.8009592
16,DUNEARN,17,Dunearn,1.3356889,103.7846051
17,CLEMENTI WEST,18,Clementi West,1.3151003,103.7652311
18,SENGKANG TOWN CENTRE,19,Sengkang Town Centre,1.3919236499999998,103.89549093760694
19,YEW TEE,20,Yew Tee,1.3974608,103.7474009
20,TANGLIN HALT,21,Tanglin Halt,1.2999069,103.79810867117243
21,TOWNSVILLE,22,Townsville,1.3593241,103.8553321
22,HOUGANG CENTRAL,23,Hougang Central,1.3710492,103.89435758379814
23,HONG KAH NORTH,24,Hong Kah North,1.3553973,103.7214297
24,SELEGIE,25,Selegie,1.3027586,103.8502417
25,BOON LAY PLACE,26,Boon Lay Place,1.3475171000000001,103.71387991665716
26,BENCOOLEN,27,Bencoolen,1.2986084500000001,103.85012699630914
27,DHOBY GHAUT,28,Dhoby Ghaut,1.2995657999999999,103.84531733196371
28,PAYA LEBAR NORTH,29,Paya Lebar North,1.3174795000000001,103.89235252467483
29,STRAITS VIEW,30,Straits View,1.2557081,103.86222821751517
30,WEST COAST,31,West Coast,1.3033734,103.76418057554966
31,CHOA CHU KANG NORTH,32,Choa Chu Kang North,1.3892601,103.743728
32,KALLANG WAY,33,Kallang Way,1.3249544,103.8767546
33,KRANJI,34,Kranji,1.4252189,103.7619891
34,HOUGANG WEST,35,Hougang West,1.3708011,103.89254433997465
35,CENTRAL SUBZONE,36,Marina Bay,1.2755589999999999,103.85489740049655
36,TUAS VIEW EXTENSION,37,Tuas View,1.3293722,103.6482364
37,TANJONG RHU,38,Tanjong Rhu,1.2973427499999999,103.87376426134355
38,NEE SOON,39,Nee Soon,1.4263793,103.83358336447131
39,LOYANG EAST,40,Loyang East,1.3753678,103.9772924
40,SUNSET WAY,41,Sunset Way,1.3219194,103.77021902971171
41,SAFTI,42,Safti,1.3304504,103.6834422
42,BENDEMEER,43,Bendemeer,1.3136389,103.86300121034482
43,BEDOK RESERVOIR,44,Bedok Reservoir,1.3425058,103.92522980731215
44,BIDADARI,45,Bidadari,1.3352618,103.87216677548015
45,TURF CLUB,46,Turf Club,1.4220553,103.76418206903227
46,PAYA LEBAR EAST,47,Paya Lebar East,1.3174795000000001,103.89235252467483
47,EVERTON PARK,48,Everton Park,1.2771286000000002,103.8393679151902
48,BUKIT BATOK CENTRAL,49,Bukit Batok Central,1.3507346,103.7480915
49,BEDOK NORTH,50,Bedok North,1.3324018,103.9193052
50,YIO CHU KANG NORTH,51,Yio Chu Kang North,1.3817905,103.8449359
51,CITY TERMINALS,52,City Terminals,1.2476261499999999,103.68697439819525
52,LORONG CHUAN,53,Lorong Chuan,1.35156575,103.86386218385945
53,KIAN TECK,54,Kian Teck,1.3333433499999998,103.69396679099145
54,YISHUN SOUTH,55,Yishun South,1.4293839,103.8350282
55,TEBAN GARDENS,56,Teban Gardens,1.32089305,103.73793421271182
56,SEMBAWANG SPRINGS,57,Sembawang Springs,1.4405369,103.82607667170109
57,KANGKAR,58,Kangkar,1.3839286,103.9022055
58,MACPHERSON,59,Macpherson,1.32620695,103.88950695393876
59,LORONG HALUS NORTH,60,Lorong Halus North,1.3839324,103.9253524
60,NATIONAL UNIVERSITY OF S'PORE,61,National University Of Singapore,1.2962018,103.77689943784759
61,SENNETT,62,Sennett,1.33198165,103.87447915981068
62,PEARL'S HILL,63,Pearl'S Hill,1.28489795,103.8398283978549
63,LIM CHU KANG,64,Lim Chu Kang,1.4342172,103.7149872
64,LORONG HALUS,65,Lorong Halus,1.3839324,103.9253524
65,BUKIT BATOK WEST,66,Bukit Batok West,1.3455305,103.7397329
66,PASIR RIS DRIVE,67,Pasir Ris Drive,1.3730307,103.949255
67,CHENG SAN,68,Cheng San,1.3408630000000001,103.83039182212079
68,TAMPINES EAST,69,Tampines East,1.35603565,103.95513541144504
69,NEWTON CIRCUS,70,Newton Circus,1.3128904,103.8396116
70,WESTERN WATER CATCHMENT,71,Western Water Catchment,1.3664522,103.6810305
71,YIO CHU KANG WEST,72,Yio Chu Kang West,1.3817905,103.8449359
72,ALJUNIED,73,Aljunied,1.3164515,103.8829087
73,FARRER COURT,74,Farrer Court,1.31259105,103.8542288478267
74,PULAU SELETAR,75,Pulau Seletar,1.44378625,103.86159699166407
75,PASIR RIS CENTRAL,76,Pasir Ris Central,1.3726634,103.9479432
76,NASSIM,77,Nassim,1.30659285,103.82299205452577
77,SERANGOON NORTH,78,Serangoon North,1.3713383,103.8727563
78,BRAS BASAH,79,Bras Basah,1.2968214,103.85066583319599
79,POTONG PASIR,80,Potong Pasir,1.3314141,103.8691380822365
80,DEPOT ROAD,81,Depot Road,1.281406,103.8040422
81,KAMPONG JAVA,82,Kampong Java,1.3139715,103.8454729
82,TANJONG PAGAR,83,Tanjong Pagar,1.27660565,103.84577931609854
83,CORONATION ROAD,84,Coronation Road,1.3226221,103.8009462
84,SOUTHERN GROUP,85,St. John'S Island,1.2197153,103.848337
85,CLIFFORD PIER,86,Clifford Pier,1.2839466499999999,103.85353779026767
86,HOUGANG EAST,87,Hougang East,1.3708011,103.89254433997465
87,OXLEY,88,Oxley,1.2988336500000002,103.84090593212014
88,DEFU INDUSTRIAL PARK,89,Defu Industrial Park,1.35161105,103.89204505000001
89,CHATSWORTH,90,Chatsworth,1.29902585,103.82488875720048
90,TYERSALL,91,Tyersall,1.3139846,103.8136227
91,MOUNTBATTEN,92,Mountbatten,1.3063254,103.88272779279126
92,FRANKEL,93,Frankel,1.3188815,103.9143532
93,NORTHSHORE,94,Northshore,1.41688295,103.90214825813982
94,SEMBAWANG HILLS,95,Sembawang Hills,1.3723986,103.8290294792003
95,YISHUN CENTRAL,96,Yishun Central,1.42645065,103.83720383435042
96,WOODGROVE,97,Woodgrove,1.42913595,103.78125034810185
97,CHANGI WEST,98,Changi West,1.35107955,103.99006409583149
98,WOODLANDS REGIONAL CENTRE,99,Woodlands Regional Centre,1.436897,103.786216
99,CRAWFORD,100,Crawford,1.30558585,103.86308765668299
100,CENTRAL WATER CATCHMENT,101,Central Water Catchment,1.3757082999999999,103.8017434436911
101,TENGAH,102,Tengah,1.3624531,103.72504010422139
102,MACKENZIE,103,Mackenzie,1.30494005,103.84884715227221
103,LAKESIDE,104,Lakeside,1.34425,103.7206931
104,SAUJANA,105,Saujana,1.3820391,103.7692353
105,CLEMENTI WOODS,106,Clementi Woods,1.29980405,103.76787306329607
106,BUKIT HO SWEE,107,Bukit Ho Swee,1.2879953,103.82856441508395
107,WENYA,108,Jalan Bahar Park,1.3566083,103.6957716
108,LOYANG WEST,109,Loyang West,1.3753678,103.9772924
109,QUEENSWAY,110,Queensway,1.2977574,103.8004623
